cedula,nombre,apellido,sexo,fechaNacimiento,telefono,celular,ciudad,direccion,email,cargo
0954058106,Jefferson,Piero Carrera,Masculino,1996-02-21,0689842778,0891138762,Cuenca,Av. Amazonas N40-71,ibtpvn@outlook.es,O
0479318887,Mara,Piero Vera,Femenino,1993-01-06,0630545608,0020183985,Naranjal,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,ddwazuge@outlook.es,V
0864671556,Crithina,Figueroa Vazquez,Femenino,1993-06-18,0710076013,0944242912,Durán,Centro,pxgrqu@outlook.es,E
0476814537,Jocelyne,Tobar,Femenino,1982-10-11,0439747629,0876461463,Naranjal,Av. 9 de Octubre N 27-75 y Berlín,hseyiw@hotmail.es,E
0997994091,Renato,Carrera Morena,Masculino,1997-03-20,0407100604,0223539709,Guayaquil,Estación de Comprobación Técnica Vía Chambo Km 2,kszuc@hotmail.com,O
0024328380,Jose,Sanzhez,Masculino,1982-03-11,0520908970,0290113367,Cuenca,Av. Circunvalación y Av. Río Aguarico,oactkyyk@hotmail.com,V
0179813151,Milena,Vera Piero,Femenino,1980-01-03,0269343826,0634152086,Guayaquil,"Cdla. IETEL, Mz 28 lote 1",efik@espol.edu.ec,V
0634526254,Jefferson,Vazquez,Masculino,1990-12-22,0526776787,0857176098,Quito,Av. 9 de Octubre N27-75 y Berlín,zaxkodb@outlook.es,O
0312697669,Bryan,Jacho,Masculino,1994-10-09,0410384912,0278042623,Durán,Av. 9 de Octubre N27-75 y Berlín,suycilvy@gmail.com,O
0579613315,Dayana,Morena,Femenino,2001-03-26,0131091960,0606282605,Nobol,Av. Circunvalación y Av. Río Aguarico,hcpxdpwf@gmail.com,O
0814045758,Paulette,Cedeño,Femenino,1997-12-20,0127068905,0634300972,Guayaquil,Av. Circunvalación y Av. Río Aguarico,xqnxmrt@espol.edu.ec,E
0432810010,Mara,Flores,Femenino,2000-02-09,0087984782,0139185857,Nobol,"Cdla. IETEL, Mz 28 lote 1",ksjlqr@outlook.es,E
0358047059,Crithina,Pulla,Femenino,1995-10-27,0892896809,0144247988,Nobol,Av. Circunvalación y Av. Río Aguarico,pplpjwfh@espol.edu.ec,V
0905718882,Axel,Jacho Jacho,Masculino,1992-10-07,0697824996,0843559229,Nobol,"Ciudadela California, calle Chone, entre Junín y Santa Ana",hlhfd@outlook.es,O
0262905441,Ariel,Pulla Pulla,Masculino,1998-02-10,0750079187,0560665228,Quito,Av. 9 de Octubre N27-75 y Berlín,budyinw@espol.edu.ec,O
0288063308,Dayana,Sanzhez,Femenino,1991-10-15,0434514986,0019964420,Ambato,"Turi,sector Collaloma vía Turi-Tarqui",lbqens@hotmail.es,V
0399766813,Mara,Morena,Femenino,1997-05-27,0921258323,0894671537,Naranjal,Centro,egwg@hotmail.es,O
0206835601,Zoila,Carrera,Femenino,1981-09-08,0271727756,0417869832,Naranjal,"Turi,sector Collaloma vía Turi-Tarqui",ogdnw@hotmail.com,O
0477258993,Jose,Jacho Tobar,Masculino,1995-02-01,0871337530,0871626085,Durán,Av. Circunvalación y Av. Río Aguarico,ycat@outlook.es,E
0402810438,Luis,Mera Jacho,Masculino,1995-02-02,0651814757,0793154797,Nobol,Av. Amazonas N40-71,vsqwfag@espol.edu.ec,O
0876711369,Xiomara,Jacho Morena,Femenino,1999-10-26,0161161959,0461046996,Guayaquil,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,dbale@hotmail.com,O
0420036459,Paulette,Carrera,Femenino,1997-12-18,0465904380,0144861255,Ambato,"Ciudadela California, calle Chone, entre Junín y Santa Ana",dnmmfd@hotmail.es,E
0018885851,Diana,Carrera,Femenino,1994-09-14,0649568440,0157488597,Ambato,"Turi,sector Collaloma vía Turi-Tarqui",mcdkjo@espol.edu.ec,E
0210821929,Xavier,Davalos,Masculino,1999-05-23,0222299452,0919552391,Cuenca,Av. Diego de Almagro N31-95,oycqdz@gmail.com,O
0459889137,Jonathan,Bermudez Sanzhez,Masculino,1997-02-08,0137979661,0374768843,Naranjal,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,fxkxwh@hotmail.com,E
0137625765,Geogy,Davalos Cordova,Masculino,1993-11-04,0831925266,0202884121,Naranjal,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,jeoyzmox@outlook.es,O
0539431912,Ariel,Morena,Masculino,1985-08-15,0943717656,0218805519,Durán,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,iheh@hotmail.com,O
0127106444,Tamara,Davalos Vera,Femenino,1983-01-07,0431310497,0284120579,Quito,Av. 9 de Octubre N 27-75 y Berlín,vicut@outlook.es,E
0346349094,Axel,Morena Sanzhez,Masculino,1990-06-20,0884823475,0564316015,Naranjal,Av. Amazonas N40-71,dujhlx@espol.edu.ec,V
0104107312,Josue,Jacho Jacho,Masculino,1986-06-03,0471392565,0964130008,Ambato,Av. Circunvalación y Av. Río Aguarico,auvpj@outlook.es,V
0609203776,Jefferson,Flores Mera,Masculino,1999-08-22,0760722899,0915383035,Guayaquil,Centro,refkadtn@hotmail.es,E
0750013779,Milena,Tobar Bonilla,Femenino,1986-03-22,0551578036,0860355387,Guayaquil,"Turi,sector Collaloma vía Turi-Tarqui",sfjqi@hotmail.es,E
0966646673,Ana,Mera Carrera,Femenino,1985-07-21,0926835102,0734687101,Naranjal,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,wupmv@espol.edu.ec,V
0708268211,Domenica,Bermudez,Femenino,1998-05-12,0306648103,0976481049,Naranjal,Av. Diego de Almagro N31-95,eeuch@espol.edu.ec,V
0764794393,Jonathan,Morena,Masculino,1986-04-01,0286542277,0614476855,Ambato,Av. 9 de Octubre N 27-75 y Berlín,kgsgu@hotmail.es,V
0854531048,Luis,Mera,Masculino,1998-09-04,0199574988,0575614330,Quito,Av. 9 de Octubre N27-75 y Berlín,dpnoi@hotmail.com,E
0107295888,Domenica,Mera Morena,Femenino,1998-05-14,0277421126,0990509060,Durán,Av. Diego de Almagro N31-95,rrok@espol.edu.ec,E
0908167606,Bryan,Bermudez Vazquez,Masculino,1994-07-09,0475162399,0198807478,Quito,"Ciudadela California, calle Chone, entre Junín y Santa Ana",jvpy@hotmail.es,O
0199769539,Tamara,Piero,Femenino,1995-10-25,0779775047,0339934266,Guayaquil,"Turi,sector Collaloma vía Turi-Tarqui",hxpmsu@hotmail.es,V
0706182581,Luis,Tobar,Masculino,1984-03-07,0348293778,0570670732,Nobol,"Ciudadela California, calle Chone, entre Junín y Santa Ana",laitk@hotmail.es,V
0973997406,Luis,Jacho,Masculino,1982-08-04,0114470969,0206284032,Ambato,"Turi,sector Collaloma vía Turi-Tarqui",uxna@hotmail.com,E
0770178901,Jefferson,Morena Mera,Masculino,1983-06-06,0604800217,0248920779,Quito,Centro,puygmnn@hotmail.es,O
0652688361,Juan,Piero,Masculino,1982-06-25,0542947026,0207688346,Cuenca,Av. Amazonas N40-71,brfkn@espol.edu.ec,O
0445929185,Ariel,Vazquez Sanzhez,Masculino,1987-09-15,0183028725,0306834124,Nobol,Av. 9 de Octubre N27-75 y Berlín,eamenn@outlook.es,O
0750682155,Axel,Tobar,Masculino,1980-11-23,0987487883,0844987730,Quito,Av. Amazonas N40-71,xucrpegx@gmail.com,V
0054173037,Jefferson,Carrera,Masculino,1999-05-27,0339247884,0669741322,Cuenca,Av. Diego de Almagro N31-95,kobxarop@outlook.es,O
0573592980,Geogy,Morena,Masculino,1997-01-16,0841169913,0528530778,Cuenca,Av. Amazonas N40-71,jmfjg@hotmail.com,O
0940089548,Ariel,Tobar,Masculino,1998-06-04,0697842034,0571455008,Naranjal,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,zithprx@outlook.es,O
0811767861,Xiomara,Sanzhez,Femenino,1984-03-25,0833509319,0315167450,Durán,Av. 9 de Octubre N27-75 y Berlín,uzjvp@gmail.com,V
0924469720,Raul,Bonilla Piero,Masculino,1985-05-04,0346140517,0070058939,Durán,"Cdla. IETEL, Mz 28 lote 1",auzjg@hotmail.com,V
0317699468,Jose,Cedeño Figueroa,Masculino,1990-09-05,0788480540,0349702775,Cuenca,Centro,tvhl@hotmail.com,O
0591837752,Zoila,Mera Flores,Femenino,1987-04-16,0522178502,0241481872,Guayaquil,Centro,bfhilhib@hotmail.com,O
0711353409,Xiomara,Davalos,Femenino,2001-12-17,0763543981,0203896459,Cuenca,"Ciudadela California, calle Chone, entre Junín y Santa Ana",momwome@gmail.com,V
0869113798,Katalina,Bermudez Figueroa,Femenino,1991-04-27,0806958410,0579450835,Cuenca,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,xhoaxjzr@hotmail.es,V
0094197993,Domenica,Bermudez Bermudez,Femenino,1995-04-21,0222531372,0683365804,Guayaquil,Centro,http@espol.edu.ec,O
0909524548,Mara,Davalos Figueroa,Femenino,1989-06-14,0089790755,0141673729,Naranjal,"Ciudadela California, calle Chone, entre Junín y Santa Ana",jrai@hotmail.es,E
0671279506,Milena,Pulla,Femenino,1999-11-17,0574546398,0233075133,Cuenca,"Turi,sector Collaloma vía Turi-Tarqui",ovfgdeu@espol.edu.ec,V
0062618593,Axel,Piero,Masculino,2000-08-02,0789497871,0283743227,Nobol,Av. Amazonas N40-71,qnesz@hotmail.com,V
0235324637,Dayana,Bonilla Carrera,Femenino,1986-03-06,0474338327,0363963240,Cuenca,Av. Circunvalación y Av. Río Aguarico,wjwjyxh@gmail.com,E
0870719099,Jose,Piero Sanzhez,Masculino,1995-01-09,0845836441,0131131879,Ambato,Centro,ymumhx@hotmail.es,E
0950946050,Jonathan,Piero,Masculino,2000-02-14,0135403594,0387305240,Naranjal,"Turi,sector Collaloma vía Turi-Tarqui",hsgexeir@outlook.es,E
0996799254,Katalina,Sanzhez Vera,Femenino,1988-10-09,0490699256,0390629931,Durán,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,muktz@hotmail.es,V
0805539800,Xiomara,Cedeño,Femenino,2001-01-05,0063799397,0262022046,Guayaquil,"Ciudadela California, calle Chone, entre Junín y Santa Ana",nlke@espol.edu.ec,O
0672302142,Renato,Bermudez Morena,Masculino,1987-05-10,0309684769,0097824208,Naranjal,Av. 9 de Octubre N 27-75 y Berlín,klzkyg@hotmail.es,O
0137002897,Diana,Bonilla,Femenino,1991-04-04,0828627836,0256670601,Guayaquil,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,mjyv@gmail.com,V
0701961363,Jose,Figueroa Mera,Masculino,1986-05-07,0275203427,0989027703,Ambato,Av. Circunvalación y Av. Río Aguarico,zbkmqt@gmail.com,E
0516630037,Tamara,Davalos,Femenino,1990-02-27,0905838198,0729449382,Ambato,Av. Amazonas N40-71,mroolqko@hotmail.es,V
