cedula,nombre,apellido,sexo,fechaNacimiento,telefono,celular,ciudad,direcion,email,cargo
0490681001,Zoila,Vazquez Pulla,Femenino,1985-11-09,0116088654,0927725578,Durán,Av. Circunvalación y Av. Río Aguarico,xifo@hotmail.es,O
0378258011,Paulette,Jacho,Femenino,1997-01-27,0193224734,0116854139,Naranjal,Centro,zvnsq@hotmail.com,V
0348317934,Axel,Bermudez,Masculino,1981-02-27,0334402619,0499164788,Naranjal,Av. Diego de Almagro N31-95,etpe@gmail.com,V
0257237855,Renato,Cedeño Carrera,Masculino,1984-12-02,0217562661,0850845800,Naranjal,"Cdla. IETEL, Mz 28 lote 1",mxzu@hotmail.es,E
0268926235,Axel,Cedeño Tobar,Masculino,1988-07-04,0991406540,0713961719,Naranjal,Av. Amazonas N40-71,jzuidi@hotmail.es,E
0471890563,Carlos,Cedeño,Masculino,1993-08-09,0674119931,0242422470,Nobol,Centro,vzyrh@outlook.es,E
0414870949,Milena,Carrera,Femenino,1988-03-17,0815013905,0877666774,Ambato,Av. 9 de Octubre N27-75 y Berlín,qghxn@espol.edu.ec,E
0778097463,Geogy,Vazquez Cedeño,Masculino,1980-07-08,0313455688,0280148015,Naranjal,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,xstutwct@outlook.es,O
0838723355,Ana,Davalos,Femenino,1982-09-18,0434800554,0262792737,Nobol,"Turi,sector Collaloma vía Turi-Tarqui",bvtiqgj@hotmail.es,E
0351347372,Tamara,Tobar Mera,Femenino,1983-06-28,0810283419,0783551421,Guayaquil,"Turi,sector Collaloma vía Turi-Tarqui",oesken@espol.edu.ec,V
0108780377,Geogy,Sanzhez Cordova,Masculino,1989-07-21,0680206850,0780124907,Nobol,Av. Circunvalación y Av. Río Aguarico,aoohml@gmail.com,O
0452965025,Ana,Jacho,Femenino,1995-09-10,0227832575,0421953031,Guayaquil,Av. 9 de Octubre N27-75 y Berlín,fejrmfd@outlook.es,V
0335520831,Mara,Piero,Femenino,1986-04-23,0137627558,0117554522,Naranjal,"Cdla. IETEL, Mz 28 lote 1",skegw@hotmail.es,E
0608426180,Tamara,Piero,Femenino,1983-01-08,0643484503,0659882666,Quito,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,skigeruo@hotmail.es,O
0539064948,Zoila,Cordova,Femenino,2001-03-03,0766006247,0761575075,Ambato,Centro,cnigcyhe@outlook.es,V
0022636821,Domenica,Pulla Vazquez,Femenino,1999-09-25,0129341251,0011004559,Quito,"Cdla. IETEL, Mz 28 lote 1",vakmd@gmail.com,V
0532630793,Melany,Davalos Bonilla,Femenino,1998-12-10,0429779386,0487706051,Durán,Calle Luis Cordero 16-50 y Av. Héroes de Verdeloma,sjhn@outlook.es,V
